model,dataset,text_type,i2t_metrics,t2i_metrics
llm_embedding,padchest-test,Report,"{'recall@1': np.float64(0.0006294850812035755), 'recall@5': np.float64(0.0030215283897771623), 'recall@10': np.float64(0.005035880649628604), 'recall@50': np.float64(0.019136346468588694), 'mean': np.float64(0.0030597531465449764)}","{'recall@1': np.float64(0.0032733224222585926), 'recall@5': np.float64(0.011834319526627219), 'recall@10': np.float64(0.021402492760921567), 'recall@50': np.float64(0.061689537957950395), 'mean': np.float64(0.010240381462739067)}"
llm_embedding,indiana-test,Report,"{'recall@1': np.float64(0.0004018215912135012), 'recall@5': np.float64(0.00334851326011251), 'recall@10': np.float64(0.006964907581034021), 'recall@50': np.float64(0.018885614787034558), 'mean': np.float64(0.0035303266084121434)}","{'recall@1': np.float64(0.00334851326011251), 'recall@5': np.float64(0.014063755692472542), 'recall@10': np.float64(0.02357353335119207), 'recall@50': np.float64(0.061612643986070185), 'mean': np.float64(0.011145474588302718)}"
llm_embedding,indiana-test,Impression,"{'recall@1': np.float64(0.0008036431824270024), 'recall@5': np.float64(0.0025448700776855076), 'recall@10': np.float64(0.004821859094562015), 'recall@50': np.float64(0.01660862577015805), 'mean': np.float64(0.003151335680586601)}","{'recall@1': np.float64(0.0021430484864720066), 'recall@5': np.float64(0.010313420841146531), 'recall@10': np.float64(0.018349852665416555), 'recall@50': np.float64(0.049424055719260646), 'mean': np.float64(0.008285792922786724)}"
chexzero,padchest-test,Report,"{'recall@1': np.float64(0.0005035880649628604), 'recall@5': np.float64(0.0022661462923328716), 'recall@10': np.float64(0.0047840866171471735), 'recall@50': np.float64(0.01976583154979227), 'mean': np.float64(0.002947475974399394)}","{'recall@1': np.float64(0.0005035880649628604), 'recall@5': np.float64(0.0018884552436107265), 'recall@10': np.float64(0.004280498552184313), 'recall@50': np.float64(0.018129170338662973), 'mean': np.float64(0.0028240818286832453)}"
chexzero,indiana-test,Report,"{'recall@1': np.float64(0.0010715242432360033), 'recall@5': np.float64(0.009777658719528529), 'recall@10': np.float64(0.017680150013394052), 'recall@50': np.float64(0.052236806857755155), 'mean': np.float64(0.007589874109760924)}","{'recall@1': np.float64(0.0021430484864720066), 'recall@5': np.float64(0.012992231449236539), 'recall@10': np.float64(0.021162603803911065), 'recall@50': np.float64(0.05625502276989017), 'mean': np.float64(0.009905014222350846)}"
chexzero,indiana-test,Impression,"{'recall@1': np.float64(0.0021430484864720066), 'recall@5': np.float64(0.010313420841146531), 'recall@10': np.float64(0.019019555317439058), 'recall@50': np.float64(0.05263862844896866), 'mean': np.float64(0.008748794146281939)}","{'recall@1': np.float64(0.003616394320921511), 'recall@5': np.float64(0.012456469327618538), 'recall@10': np.float64(0.021028663273506564), 'recall@50': np.float64(0.055317439057058666), 'mean': np.float64(0.010712860402988031)}"
biomedclip,padchest-test,Report,"{'recall@1': np.float64(0.001258970162407151), 'recall@5': np.float64(0.0036510134709807377), 'recall@10': np.float64(0.006294850812035755), 'recall@50': np.float64(0.020647110663477276), 'mean': np.float64(0.0038329275617621757)}","{'recall@1': np.float64(0.001258970162407151), 'recall@5': np.float64(0.004909983633387889), 'recall@10': np.float64(0.007931512023165051), 'recall@50': np.float64(0.028075034621679467), 'mean': np.float64(0.004829460998592084)}"
biomedclip,indiana-test,Report,"{'recall@1': np.float64(0.0008036431824270024), 'recall@5': np.float64(0.0028127511384945084), 'recall@10': np.float64(0.004821859094562015), 'recall@50': np.float64(0.014063755692472542), 'mean': np.float64(0.0030772031871820257)}","{'recall@1': np.float64(0.0014733458344495043), 'recall@5': np.float64(0.003750334851326011), 'recall@10': np.float64(0.0077685507634610235), 'recall@50': np.float64(0.022368068577551567), 'mean': np.float64(0.0043248945738948545)}"
biomedclip,indiana-test,Impression,"{'recall@1': np.float64(0.0004018215912135012), 'recall@5': np.float64(0.0028127511384945084), 'recall@10': np.float64(0.004420037503348513), 'recall@50': np.float64(0.015403160996517546), 'mean': np.float64(0.0028083810431883986)}","{'recall@1': np.float64(0.001339405304045004), 'recall@5': np.float64(0.004955799624966515), 'recall@10': np.float64(0.008438253415483526), 'recall@50': np.float64(0.024243236003214572), 'mean': np.float64(0.004501080723039293)}"
openai_clip,padchest-test,Report,"{'recall@1': np.float64(0.0003776910487221453), 'recall@5': np.float64(0.0006294850812035755), 'recall@10': np.float64(0.0011330731461664358), 'recall@50': np.float64(0.00642074782827647), 'mean': np.float64(0.001362746188931803)}","{'recall@1': np.float64(0.0002517940324814302), 'recall@5': np.float64(0.0008812791136850056), 'recall@10': np.float64(0.0017625582273700113), 'recall@50': np.float64(0.005665365730832179), 'mean': np.float64(0.0013551068985722511)}"
openai_clip,indiana-test,Report,"{'recall@1': np.float64(0.0002678810608090008), 'recall@5': np.float64(0.0009375837128315028), 'recall@10': np.float64(0.001339405304045004), 'recall@50': np.float64(0.007634610233056523), 'mean': np.float64(0.0015023708779049996)}","{'recall@1': np.float64(0.0), 'recall@5': np.float64(0.000669702652022502), 'recall@10': np.float64(0.0014733458344495043), 'recall@50': np.float64(0.007500669702652022), 'mean': np.float64(0.0012739145660504649)}"
openai_clip,indiana-test,Impression,"{'recall@1': np.float64(0.0), 'recall@5': np.float64(0.0004018215912135012), 'recall@10': np.float64(0.0010715242432360033), 'recall@50': np.float64(0.007232788641843022), 'mean': np.float64(0.0011246936368001289)}","{'recall@1': np.float64(0.0001339405304045004), 'recall@5': np.float64(0.0009375837128315028), 'recall@10': np.float64(0.002009107956067506), 'recall@50': np.float64(0.007634610233056523), 'mean': np.float64(0.0014347857718849093)}"
